panel,location,lon,lat,value
a_mda8_o3_peak,grid_23.00_114.00,114.0,23.0,66.327
a_mda8_o3_peak,grid_23.00_114.20,114.2,23.0,66.008
a_mda8_o3_peak,grid_23.00_114.40,114.4,23.0,66.008
a_mda8_o3_peak,grid_23.00_114.60,114.6,23.0,56.186
a_mda8_o3_peak,grid_23.00_114.80,114.8,23.0,56.186
a_mda8_o3_peak,grid_23.00_115.00,115.0,23.0,52.551
a_mda8_o3_peak,grid_23.00_115.20,115.2,23.0,52.551
a_mda8_o3_peak,grid_23.00_115.40,115.4,23.0,57.462
a_mda8_o3_peak,grid_23.00_115.60,115.6,23.0,57.462
a_mda8_o3_peak,grid_23.20_112.00,112.0,23.2,83.929
a_mda8_o3_peak,grid_23.20_112.20,112.2,23.2,95.663
a_mda8_o3_peak,grid_23.20_112.40,112.4,23.2,95.663
a_mda8_o3_peak,grid_23.20_112.60,112.6,23.2,96.492
a_mda8_o3_peak,grid_23.20_112.80,112.8,23.2,96.492
a_mda8_o3_peak,grid_23.20_113.00,113.0,23.2,86.48
a_mda8_o3_peak,grid_23.20_113.20,113.2,23.2,86.48
a_mda8_o3_peak,grid_23.20_113.40,113.4,23.2,71.62
a_mda8_o3_peak,grid_23.20_113.60,113.6,23.2,71.62
a_mda8_o3_peak,grid_23.20_113.80,113.8,23.2,71.62
a_mda8_o3_peak,grid_23.20_114.00,114.0,23.2,66.327
a_mda8_o3_peak,grid_23.20_114.20,114.2,23.2,66.008
a_mda8_o3_peak,grid_23.20_114.40,114.4,23.2,66.008
a_mda8_o3_peak,grid_23.20_114.60,114.6,23.2,56.186
a_mda8_o3_peak,grid_23.20_114.80,114.8,23.2,56.186
a_mda8_o3_peak,grid_23.20_115.00,115.0,23.2,52.551
a_mda8_o3_peak,grid_23.20_115.20,115.2,23.2,52.551
a_mda8_o3_peak,grid_23.20_115.40,115.4,23.2,57.462
a_mda8_o3_peak,grid_23.20_115.60,115.6,23.2,57.462
a_mda8_o3_peak,grid_23.40_112.00,112.0,23.4,59.311
a_mda8_o3_peak,grid_23.40_112.20,112.2,23.4,68.368
a_mda8_o3_peak,grid_23.40_112.40,112.4,23.4,68.368
a_mda8_o3_peak,grid_23.40_112.60,112.6,23.4,78.189
a_mda8_o3_peak,grid_23.40_112.80,112.8,23.4,78.189
a_mda8_o3_peak,grid_23.40_113.00,113.0,23.4,80.995
a_mda8_o3_peak,grid_23.40_113.20,113.2,23.4,80.995
a_mda8_o3_peak,grid_23.40_113.40,113.4,23.4,62.564
a_mda8_o3_peak,grid_23.40_113.60,113.6,23.4,62.564
a_mda8_o3_peak,grid_23.40_113.80,113.8,23.4,62.564
